Mock solution (not optimized)

Exam assignments:
Exam 0: Period 0, Room 0
Exam 1: Period 0, Room 1
Exam 2: Period 1, Room 0
Exam 3: Period 2, Room 0
Exam 4: Period 3, Room 0
Exam 5: Period 4, Room 0
Exam 6: Period 0, Room 2
Exam 7: Period 1, Room 2
Exam 8: Period 5, Room 0
Exam 9: Period 1, Room 1
Exam 10: Period 2, Room 2
Exam 11: Period 5, Room 1
Exam 12: Period 6, Room 0
Exam 13: Period 7, Room 0
Exam 14: Period 8, Room 0
Exam 15: Period 3, Room 1
Exam 16: Period 9, Room 0
Exam 17: Period 10, Room 0
Exam 18: Period 4, Room 1
Exam 19: Period 3, Room 2
Exam 20: Period 11, Room 0
Exam 21: Period 0, Room 3
Exam 22: Period 1, Room 3
Exam 23: Period 2, Room 1
Exam 24: Period 0, Room 4
Exam 25: Period 0, Room 5
Exam 26: Period 1, Room 4
Exam 27: Period 0, Room 6
Exam 28: Period 1, Room 5
Exam 29: Period 2, Room 3
Exam 30: Period 1, Room 6
Exam 31: Period 12, Room 0
Exam 32: Period 2, Room 4
Exam 33: Period 3, Room 3
Exam 34: Period 4, Room 2
Exam 35: Period 2, Room 6
Exam 36: Period 3, Room 6
Exam 37: Period 2, Room 5
Exam 38: Period 4, Room 3
Exam 39: Period 5, Room 2
Exam 40: Period 6, Room 1
Exam 41: Period 7, Room 1
Exam 42: Period 8, Room 1
Exam 43: Period 3, Room 4
Exam 44: Period 4, Room 4
Exam 45: Period 5, Room 3
Exam 46: Period 4, Room 6
Exam 47: Period 3, Room 5
Exam 48: Period 5, Room 4
Exam 49: Period 6, Room 2
Exam 50: Period 7, Room 2
Exam 51: Period 8, Room 2
Exam 52: Period 9, Room 1
Exam 53: Period 13, Room 0
Exam 54: Period 5, Room 6
Exam 55: Period 6, Room 6
Exam 56: Period 4, Room 5
Exam 57: Period 7, Room 6
Exam 58: Period 5, Room 5
Exam 59: Period 6, Room 3
Exam 60: Period 8, Room 6
Exam 61: Period 9, Room 2
Exam 62: Period 10, Room 1
Exam 63: Period 11, Room 1
Exam 64: Period 6, Room 4
Exam 65: Period 10, Room 2
Exam 66: Period 7, Room 3
Exam 67: Period 11, Room 2
Exam 68: Period 10, Room 3
Exam 69: Period 7, Room 4
Exam 70: Period 8, Room 3
Exam 71: Period 12, Room 1
Exam 72: Period 13, Room 1
Exam 73: Period 9, Room 4
Exam 74: Period 14, Room 0
Exam 75: Period 6, Room 5
Exam 76: Period 7, Room 5
Exam 77: Period 8, Room 4
Exam 78: Period 8, Room 5
Exam 79: Period 9, Room 3
Exam 80: Period 9, Room 5
Exam 81: Period 9, Room 6
Exam 82: Period 10, Room 4
Exam 83: Period 11, Room 3
Exam 84: Period 10, Room 6
Exam 85: Period 15, Room 0
Exam 86: Period 16, Room 0
Exam 87: Period 11, Room 4
Exam 88: Period 10, Room 5
Exam 89: Period 12, Room 2
Exam 90: Period 13, Room 2
Exam 91: Period 14, Room 1
Exam 92: Period 17, Room 0
Exam 93: Period 11, Room 5
Exam 94: Period 11, Room 6
Exam 95: Period 12, Room 3
Exam 96: Period 12, Room 6
Exam 97: Period 14, Room 2
Exam 98: Period 15, Room 1
Exam 99: Period 12, Room 4
Exam 100: Period 12, Room 5
Exam 101: Period 13, Room 3
Exam 102: Period 18, Room 0
Exam 103: Period 13, Room 6
Exam 104: Period 14, Room 3
Exam 105: Period 14, Room 4
Exam 106: Period 15, Room 2
Exam 107: Period 16, Room 1
Exam 108: Period 13, Room 4
Exam 109: Period 17, Room 1
Exam 110: Period 13, Room 5
Exam 111: Period 14, Room 5
Exam 112: Period 15, Room 3
Exam 113: Period 17, Room 2
Exam 114: Period 16, Room 2
Exam 115: Period 18, Room 1
Exam 116: Period 19, Room 0
Exam 117: Period 14, Room 6
Exam 118: Period 15, Room 4
Exam 119: Period 16, Room 3
Exam 120: Period 17, Room 3
Exam 121: Period 18, Room 2
Exam 122: Period 19, Room 1
Exam 123: Period 15, Room 5
Exam 124: Period 17, Room 4
Exam 125: Period 15, Room 6
Exam 126: Period 16, Room 4
Exam 127: Period 16, Room 6
Exam 128: Period 17, Room 6
Exam 129: Period 20, Room 0
Exam 130: Period 21, Room 0
Exam 131: Period 16, Room 5
Exam 132: Period 17, Room 5
Exam 133: Period 18, Room 3
Exam 134: Period 19, Room 2
Exam 135: Period 20, Room 1
Exam 136: Period 21, Room 1
Exam 137: Period 18, Room 4
Exam 138: Period 18, Room 6
Exam 139: Period 19, Room 6
Exam 140: Period 22, Room 0
Exam 141: Period 18, Room 5
Exam 142: Period 19, Room 3
Exam 143: Period 23, Room 0
Exam 144: Period 24, Room 0
