Objective value: 58990

Exam assignments:
Exam 0: Period 7, Room 15
Exam 1: Period 0, Room 18
Exam 2: Period 1, Room 31
Exam 3: Period 0, Room 0
Exam 4: Period 7, Room 30
Exam 5: Period 8, Room 30
Exam 6: Period 1, Room 5
Exam 7: Period 3, Room 31
Exam 8: Period 6, Room 30
Exam 9: Period 0, Room 30
Exam 10: Period 3, Room 18
Exam 11: Period 1, Room 19
Exam 12: Period 9, Room 18
Exam 13: Period 1, Room 11
Exam 14: Period 11, Room 18
Exam 15: Period 2, Room 20
Exam 16: Period 2, Room 31
Exam 17: Period 1, Room 30
Exam 18: Period 12, Room 0
Exam 19: Period 12, Room 1
Exam 20: Period 10, Room 31
Exam 21: Period 11, Room 31
Exam 22: Period 8, Room 7
Exam 23: Period 2, Room 7
Exam 24: Period 3, Room 30
Exam 25: Period 10, Room 18
Exam 26: Period 6, Room 18
Exam 27: Period 11, Room 7
Exam 28: Period 4, Room 18
Exam 29: Period 1, Room 7
Exam 30: Period 7, Room 18
Exam 31: Period 9, Room 30
Exam 32: Period 4, Room 31
Exam 33: Period 5, Room 18
Exam 34: Period 2, Room 49
Exam 35: Period 2, Room 19
Exam 36: Period 11, Room 30
Exam 37: Period 3, Room 7
Exam 38: Period 2, Room 43
Exam 39: Period 3, Room 19
Exam 40: Period 3, Room 20
Exam 41: Period 1, Room 48
Exam 42: Period 3, Room 15
Exam 43: Period 1, Room 15
Exam 44: Period 1, Room 36
Exam 45: Period 8, Room 18
Exam 46: Period 8, Room 31
Exam 47: Period 4, Room 30
Exam 48: Period 7, Room 7
Exam 49: Period 2, Room 18
Exam 50: Period 4, Room 48
Exam 51: Period 7, Room 31
Exam 52: Period 9, Room 31
Exam 53: Period 10, Room 30
Exam 54: Period 1, Room 18
Exam 55: Period 0, Room 15
Exam 56: Period 1, Room 49
Exam 57: Period 5, Room 31
Exam 58: Period 6, Room 31
Exam 59: Period 0, Room 31
Exam 60: Period 2, Room 30
Exam 61: Period 8, Room 48
Exam 62: Period 5, Room 7
Exam 63: Period 6, Room 7
Exam 64: Period 5, Room 30
Exam 65: Period 0, Room 48
Exam 66: Period 1, Room 44
Exam 67: Period 0, Room 7
Exam 68: Period 2, Room 48
Exam 69: Period 4, Room 7
Exam 70: Period 1, Room 20
Exam 71: Period 1, Room 43
Exam 72: Period 2, Room 44
Exam 73: Period 7, Room 48
Exam 74: Period 3, Room 48
Exam 75: Period 4, Room 15
Exam 76: Period 6, Room 48
Exam 77: Period 2, Room 15
